"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"78";"T001028 ";"E006608 ";"2000JJ00";"24355";"1.14"
"79";"T001028 ";"E006608 ";"2001JJ00";"24655";"1.13"
"80";"T001028 ";"E006608 ";"2002JJ00";"25453";"1.18"
"81";"T001028 ";"E006608 ";"2003JJ00";"25893";"1.17"
"82";"T001028 ";"E006608 ";"2004JJ00";"28466";"1.22"
"83";"T001028 ";"E006608 ";"2005JJ00";"30228";"1.31"
"84";"T001028 ";"E006608 ";"2006JJ00";"33387";"1.46"
"85";"T001028 ";"E006608 ";"2007JJ00";"34734";"1.55"
"86";"T001028 ";"E006608 ";"2008JJ00";"36863";"1.62"
"87";"T001028 ";"E006608 ";"2009JJ00";"39335";"1.79"
"88";"T001028 ";"E006608 ";"2010JJ00";"40649";"1.72"
"89";"T001028 ";"E006608 ";"2011JJ00";"42324";"1.93"
"90";"T001028 ";"E006608 ";"2012JJ00";"44961";"2.04"
"91";"T001028 ";"E006608 ";"2013JJ00";"48264";"2.19"
"92";"T001028 ";"E006608 ";"2014JJ00";"52266";"2.6"
"93";"T001028 ";"E006608 ";"2015JJ00";"57274";"2.8"
"94";"T001028 ";"E006608 ";"2016JJ00";"58012";"2.77"
"95";"T001028 ";"E006608 ";"2017JJ00";"64113";"3.05"
"96";"T001028 ";"E006608 ";"2018JJ00";"68341";"3.23"
"97";"T001028 ";"E006608 ";"2019JJ00";"77825";"3.75"
"98";"T001028 ";"E006608 ";"2020JJ00";"84522";"4.35"
"99";"T001028 ";"E006608 ";"2021JJ00";"86641";"4.32"
"100";"T001028 ";"E006608 ";"2022JJ00";"82662";"4.47"
"101";"T001028 ";"E006608 ";"2023JJ00";"85863";"4.81"
"102";"T001028 ";"E007028 ";"1990JJ00";"0";"0"
"103";"T001028 ";"E007028 ";"1991JJ00";"0";"0"
"104";"T001028 ";"E007028 ";"1992JJ00";"0";"0"
"105";"T001028 ";"E007028 ";"1993JJ00";"0";"0"
"106";"T001028 ";"E007028 ";"1994JJ00";"0";"0"
"107";"T001028 ";"E007028 ";"1995JJ00";"0";"0"
"108";"T001028 ";"E007028 ";"1996JJ00";"0";"0"
"109";"T001028 ";"E007028 ";"1997JJ00";"0";"0"
"110";"T001028 ";"E007028 ";"1998JJ00";"0";"0"
"111";"T001028 ";"E007028 ";"1999JJ00";"0";"0"
"112";"T001028 ";"E007028 ";"2000JJ00";"0";"0"
"113";"T001028 ";"E007028 ";"2001JJ00";"0";"0"
"114";"T001028 ";"E007028 ";"2002JJ00";"0";"0"
"115";"T001028 ";"E007028 ";"2003JJ00";"134";"0.01"
"116";"T001028 ";"E007028 ";"2004JJ00";"134";"0.01"
"117";"T001028 ";"E007028 ";"2005JJ00";"101";"0"
"118";"T001028 ";"E007028 ";"2006JJ00";"1766";"0.08"
"119";"T001028 ";"E007028 ";"2007JJ00";"13031";"0.58"
"120";"T001028 ";"E007028 ";"2008JJ00";"12048";"0.53"
"121";"T001028 ";"E007028 ";"2009JJ00";"15606";"0.71"
"122";"T001028 ";"E007028 ";"2010JJ00";"9577";"0.41"
"123";"T001028 ";"E007028 ";"2011JJ00";"13785";"0.63"
"124";"T001028 ";"E007028 ";"2012JJ00";"12873";"0.58"
"125";"T001028 ";"E007028 ";"2013JJ00";"12428";"0.56"
"126";"T001028 ";"E007028 ";"2014JJ00";"14373";"0.72"
"127";"T001028 ";"E007028 ";"2015JJ00";"12571";"0.61"
"128";"T001028 ";"E007028 ";"2016JJ00";"9902";"0.47"
"129";"T001028 ";"E007028 ";"2017JJ00";"12691";"0.6"
"130";"T001028 ";"E007028 ";"2018JJ00";"21242";"1"
"131";"T001028 ";"E007028 ";"2019JJ00";"26609";"1.28"
"132";"T001028 ";"E007028 ";"2020JJ00";"23566";"1.21"
"133";"T001028 ";"E007028 ";"2021JJ00";"26488";"1.32"
"134";"T001028 ";"E007028 ";"2022JJ00";"25611";"1.38"
"135";"T001028 ";"E007028 ";"2023JJ00";"27078";"1.52"
"136";"E007210 ";"E007022 ";"1990JJ00";"21772";"1.2"
